,stock_code,ccass_holder
0,00001,CK HUTCHISON HOLDINGS LIMITED
1,00002,CLP HOLDINGS LIMITED
2,00003,"HONG KONG AND CHINA GAS COMPANY LIMITED, THE"
3,00004,"WHARF (HOLDINGS) LIMITED, THE"
4,00005,HSBC HOLDINGS PLC
5,00006,POWER ASSETS HOLDINGS LIMITED
6,00007,WISDOM WEALTH RESOURCES INVESTMENT HOLDING GROUP LIMITED
7,00008,PCCW LIMITED
8,00009,KEYNE LTD
9,00010,HANG LUNG GROUP LIMITED
10,00011,HANG SENG BANK LTD -HKD TRADED SHARES
11,00012,HENDERSON LAND DEVELOPMENT CO LTD
12,00013,HUTCHMED (CHINA) LIMITED
13,00014,HYSAN DEVELOPMENT COMPANY LIMITED
14,00016,SUN HUNG KAI PROPERTIES LIMITED -HKD TRADED SHARES
15,00017,NEW WORLD DEVELOPMENT CO LTD
16,00018,ORIENTAL ENTERPRISE HOLDINGS LIMITED
17,00019,SWIRE PACIFIC LTD 'A'
18,00020,SENSETIME GROUP INC. -HKD TRADED SHARES
19,00021,GREAT CHINA HOLDINGS (HONG KONG) LIMITED
20,00022,MEXAN LIMITED
21,00023,BANK OF EAST ASIA LTD
22,00025,CHEVALIER INTERNATIONAL HOLDINGS LIMITED
23,00026,CHINA MOTOR BUS COMPANY LIMITED
24,00027,GALAXY ENTERTAINMENT GROUP LIMITED
25,00028,TIAN AN CHINA INVESTMENTS COMPANY LIMITED
26,00029,DYNAMIC HOLDINGS LIMITED
27,00030,BAN LOONG HOLDINGS LIMITED
28,00031,CHINA AEROSPACE INTERNATIONAL HOLDINGS LIMITED
29,00032,"CROSS-HARBOUR (HOLDINGS) LIMITED, THE"
30,00033,INTERNATIONAL GENIUS COMPANY
31,00034,KOWLOON DEVELOPMENT COMPANY LIMITED
32,00035,FAR EAST CONSORTIUM INTERNATIONAL LTD
33,00036,FAR EAST HOLDINGS INTERNATIONAL LIMITED
34,00037,FAR EAST HOTELS & ENTERTAINMENT LIMITED
35,00038,FIRST TRACTOR COMPANY LIMITED
36,00039,CHINA BEIDAHUANG INDUSTRY GROUP HOLDINGS LIMITED
37,00040,GOLD PEAK TECHNOLOGY GROUP LIMITED
38,00041,GREAT EAGLE HOLDINGS LIMITED
39,00042,NORTHEAST ELECTRIC DEVELOPMENT COMPANY LIMITED
40,00045,"HONGKONG AND SHANGHAI HOTELS LTD,THE"
41,00046,COMPUTER AND TECHNOLOGIES HOLDINGS LIMITED
42,00048,CHINA AUTOMOTIVE INTERIOR DECORATION HOLDINGS LIMITED
43,00050,HONG KONG FERRY (HOLDINGS) CO LTD
44,00051,HARBOUR CENTRE DEVELOPMENT LTD
45,00052,FAIRWOOD HOLDINGS LIMITED
46,00053,GUOCO GROUP LIMITED
47,00055,NEWAY GROUP HOLDINGS LIMITED
48,00057,CHEN HSONG HOLDINGS LTD
49,00058,SUNWAY INTERNATIONAL HOLDINGS LIMITED
50,00059,SKYFAME REALTY (HOLDINGS) LIMITED
51,00060,HONG KONG FOOD INVESTMENT HOLDINGS LIMITED
52,00061,GREEN LEADER HOLDINGS GROUP LIMITED
53,00062,TRANSPORT INTERNATIONAL HOLDINGS LIMITED
54,00063,CHINA ASIA VALLEY GROUP LIMITED
55,00064,GET NICE HOLDINGS LIMITED
56,00065,GRAND OCEAN ADVANCED RESOURCES COMPANY LIMITED
57,00066,MTR CORPORATION LIMITED
58,00069,SHANGRI-LA ASIA LIMITED
59,00070,RICH GOLDMAN HOLDINGS LIMITED
60,00071,MIRAMAR HOTEL & INVESTMENT CO LTD
61,00072,META MEDIA HOLDINGS LIMITED
62,00073,ASIAN CITRUS HOLDINGS LIMITED
63,00075,Y. T. REALTY GROUP LIMITED
64,00076,ELATE HOLDINGS LIMITED
65,00077,AMS PUBLIC TRANSPORT HOLDINGS LIMITED
66,00078,REGAL HOTELS INTERNATIONAL HOLDINGS LIMITED
67,00079,CENTURY LEGEND (HOLDINGS) LIMITED
68,00080,CHINA NEW ECONOMY FUND LIMITED
69,00081,CHINA OVERSEAS GRAND OCEANS GROUP LIMITED
70,00082,CRAZY SPORTS GROUP LIMITED
71,00083,SINO LAND CO.LTD.
72,00084,STELUX HOLDINGS INTERNATIONAL LIMITED
73,00085,CHINA ELECTRONICS HUADA TECHNOLOGY COMPANY LIMITED
74,00086,SUN HUNG KAI & CO.LTD
75,00087,SWIRE PACIFIC LTD 'B'
76,00088,TAI CHEUNG HOLDINGS LTD
77,00089,TAI SANG LAND DEVELOPMENT LTD
78,00090,PUXING ENERGY LIMITED
79,00091,GOLDEN CENTURY INTERNATIONAL HOLDINGS GROUP LIMITED
80,00092,CHAMPION TECHNOLOGY HOLDINGS LIMITED
81,00093,TERMBRAY INDUSTRIES INTERNATIONAL (HOLDINGS) LIMITED
82,00094,GREENHEART GROUP LIMITED
83,00095,LVGEM (CHINA) REAL ESTATE INVESTMENT COMPANY LIMITED
84,00096,YUSEI HOLDINGS LIMITED
85,00097,HENDERSON INVESTMENT LTD
86,00098,XINGFA ALUMINIUM HOLDINGS LIMITED
87,00099,WONG'S INTERNATIONAL HOLDINGS LIMITED
88,00101,HANG LUNG PROPERTIES LIMITED
89,00102,SUMMIT ASCENT HOLDINGS LIMITED
90,00103,SHOUGANG CENTURY HOLDINGS LIMITED
91,00104,ASIA COMMERCIAL HOLDINGS LIMITED
92,00105,ASSOCIATED INTERNATIONAL HOTELS LTD
93,00106,LANDSEA GREEN MANAGEMENT LIMITED
94,00107,SICHUAN EXPRESSWAY COMPANY LIMITED
95,00108,GR PROPERTIES LIMITED
96,00110,CHINA FORTUNE HOLDINGS LIMITED
97,00111,CINDA INTERNATIONAL HOLDINGS LIMITED
98,00113,DICKSON CONCEPTS (INTERNATIONAL) LIMITED
99,00114,HERALD HOLDINGS LTD
100,00115,GRAND FIELD GROUP HOLDINGS LIMITED
101,00116,CHOW SANG SANG HOLDINGS INTERNATIONAL LIMITED
102,00117,TIANLI HOLDINGS GROUP LIMITED
103,00118,COSMOS MACHINERY ENTERPRISES LIMITED
104,00119,"POLY PROPERTY GROUP CO., LIMITED"
105,00120,COSMOPOLITAN INTERNATIONAL HOLDINGS LTD
106,00122,CROCODILE GARMENTS LIMITED
107,00123,YUEXIU PROPERTY COMPANY LIMITED
108,00124,GUANGDONG LAND HOLDINGS LIMITED
109,00125,SUN HING VISION GROUP HOLDINGS LIMITED
110,00126,CARRIANNA GROUP HOLDINGS COMPANY LIMITED
111,00127,CHINESE ESTATES HOLDINGS LIMITED
112,00128,ENM HOLDINGS LIMITED
113,00129,ASIA STANDARD INTERNATIONAL GROUP LTD
114,00130,MOISELLE INTERNATIONAL HOLDINGS LIMITED
115,00131,CHEUK NANG (HOLDINGS) LIMITED
116,00132,CHINA INVESTMENTS HOLDINGS LIMITED
117,00133,CHINA MERCHANTS CHINA DIRECT INVESTMENTS LIMITED
118,00135,KUNLUN ENERGY COMPANY LIMITED
119,00136,CHINA RUYI HOLDINGS LIMITED
120,00137,JINHUI HOLDINGS COMPANY LIMITED
121,00138,CCT FORTIS HOLDINGS LIMITED
122,00139,CENTRAL WEALTH GROUP HOLDINGS LIMITED
123,00142,FIRST PACIFIC CO. LTD.
124,00144,CHINA MERCHANTS PORT HOLDINGS COMPANY LIMITED
125,00145,CCIAM FUTURE ENERGY LIMITED
126,00146,TAI PING CARPETS INTERNATIONAL LTD
127,00147,INTERNATIONAL BUSINESS SETTLEMENT HOLDINGS LIMITED
128,00148,KINGBOARD HOLDINGS LIMITED
129,00149,CHINA AGRI-PRODUCTS EXCHANGE LIMITED
130,00150,HYPEBEAST LIMITED
131,00151,WANT WANT CHINA HOLDINGS LIMITED
132,00152,SHENZHEN INTERNATIONAL HOLDINGS LIMITED
133,00154,BEIJING ENTERPRISES ENVIRONMENT GROUP LIMITED
134,00156,LIPPO CHINA RESOURCES LIMITED
135,00157,NATURAL BEAUTY BIO-TECHNOLOGY LIMITED
136,00158,MELBOURNE ENTERPRISES LTD.
137,00159,BROCKMAN MINING LIMITED
138,00160,"HON KWOK LAND INVESTMENT COMPANY,LIMITED"
139,00162,CENTURY GINWA RETAIL HOLDINGS LIMITED
140,00163,EMPEROR INTERNATIONAL HOLDINGS LIMITED
141,00164,CHINA BAOLI TECHNOLOGIES HOLDINGS LIMITED-NEW
142,00165,CHINA EVERBRIGHT LIMITED
143,00166,NEW TIMES ENERGY CORPORATION LIMITED
144,00167,IDT INTERNATIONAL LIMITED
145,00168,TSINGTAO BREWERY COMPANY LIMITED
146,00169,WANDA HOTEL DEVELOPMENT COMPANY LIMITED
147,00171,SILVER GRANT INTERNATIONAL HOLDINGS GROUP LIMITED
148,00173,K. WAH INTERNATIONAL HOLDINGS LIMITED
149,00174,GEMINI INVESTMENTS (HOLDINGS) LIMITED
150,00175,GEELY AUTOMOBILE HOLDINGS LIMITED -HKD TRADED SHARES
151,00176,SUPERACTIVE GROUP COMPANY LIMITED
152,00177,JIANGSU EXPRESSWAY COMPANY LIMITED
153,00178,SA SA INTERNATIONAL HOLDINGS LIMITED
154,00179,JOHNSON ELECTRIC HOLDINGS LIMITED
155,00180,KADER HOLDINGS CO. LTD
156,00181,FUJIAN HOLDINGS LIMITED
157,00182,CONCORD NEW ENERGY GROUP LIMITED
158,00183,WINFULL GROUP HOLDINGS LIMITED
159,00184,KECK SENG INVESTMENTS (HONG KONG) LTD
160,00185,ZENSUN ENTERPRISES LIMITED
161,00186,NIMBLE HOLDINGS COMPANY LIMITED
162,00187,BEIJING JINGCHENG MACHINERY ELECTRIC COMPANY LIMITED
163,00188,SUNWAH KINGSWAY CAPITAL HOLDINGS LIMITED
164,00189,DONGYUE GROUP LIMITED
165,00191,LAI SUN GARMENT (INTERNATIONAL) LIMITED
166,00193,CAPITAL ESTATE LIMITED
